"region","service","ip"
"usgovvirginia","","40.66.4.0/27"
"usgovvirginia","","40.112.38.0/27"
"usgovvirginia","","40.112.38.64/27"
"usgovvirginia","","40.112.38.128/27"
"usgovvirginia","","40.112.44.0/23"
"usgovvirginia","","40.112.46.0/24"
"usgovvirginia","","52.108.66.0/23"
"usgovvirginia","","52.126.64.0/18"
"usgovvirginia","","52.126.192.192/26"
"usgovvirginia","","52.126.195.64/26"
"usgovvirginia","","52.126.196.0/22"
"usgovvirginia","","52.126.208.0/24"
"usgovvirginia","","52.126.224.0/26"
"usgovvirginia","","52.126.224.192/26"
"usgovvirginia","","52.126.232.0/24"
"usgovvirginia","","52.127.40.0/21"
"usgovvirginia","","52.127.48.0/21"
"usgovvirginia","","52.127.83.0/24"
"usgovvirginia","","52.127.103.0/24"
"usgovvirginia","","52.127.104.4/30"
"usgovvirginia","","52.127.116.0/26"
"usgovvirginia","","52.127.117.128/26"
"usgovvirginia","","52.127.160.0/20"
"usgovvirginia","","52.127.240.0/22"
"usgovvirginia","","52.227.0.0/16"
"usgovvirginia","","52.235.192.0/18"
"usgovvirginia","","52.245.3.0/24"
"usgovvirginia","","52.245.5.0/24"
"usgovvirginia","","52.245.192.0/18"
"usgovvirginia","","52.247.128.0/18"
"usgovvirginia","","2001:489a:2206:20::/63"
"usgovvirginia","","2001:489a:3100::/46"
"usgovvirginia","","2001:489a:3108::/48"
